H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
78.000000E+0,826.584800E-6,78.000000E+0,859.224600E-6,78.000000E+0,731.246200E-6
76.000000E+0,827.469200E-6,76.000000E+0,859.724900E-6,76.000000E+0,731.401900E-6
74.000000E+0,828.227200E-6,74.000000E+0,858.241400E-6,74.000000E+0,732.709700E-6
72.000000E+0,826.066300E-6,71.000000E+0,858.458300E-6,72.000000E+0,732.598500E-6
70.000000E+0,826.548400E-6,70.000000E+0,857.736400E-6,70.000000E+0,732.056800E-6
68.000000E+0,825.115000E-6,68.000000E+0,858.582800E-6,68.000000E+0,731.928700E-6
66.000000E+0,825.221100E-6,66.000000E+0,855.884800E-6,66.000000E+0,729.912400E-6
64.000000E+0,825.902700E-6,64.000000E+0,858.009400E-6,64.000000E+0,732.240200E-6
62.000000E+0,825.985600E-6,62.000000E+0,856.832200E-6,62.000000E+0,730.557300E-6
60.000000E+0,825.419500E-6,60.000000E+0,855.156900E-6,60.000000E+0,731.298200E-6
58.000000E+0,824.646000E-6,58.000000E+0,855.687800E-6,58.000000E+0,731.023800E-6
56.000000E+0,825.200800E-6,56.000000E+0,855.043000E-6,56.000000E+0,731.277000E-6
54.000000E+0,824.534500E-6,54.000000E+0,853.581900E-6,54.000000E+0,729.315700E-6
52.000000E+0,823.632300E-6,52.000000E+0,854.512100E-6,52.000000E+0,728.841500E-6
50.000000E+0,824.538200E-6,50.000000E+0,854.952500E-6,50.000000E+0,729.936900E-6
48.000000E+0,822.649300E-6,48.000000E+0,851.681300E-6,48.000000E+0,728.316200E-6
46.000000E+0,822.914300E-6,46.000000E+0,851.933600E-6,46.000000E+0,729.002500E-6
44.000000E+0,822.265200E-6,44.000000E+0,851.691400E-6,44.000000E+0,727.143100E-6
42.000000E+0,822.503700E-6,42.000000E+0,851.249900E-6,42.000000E+0,727.638000E-6
40.000000E+0,821.785500E-6,40.000000E+0,850.584500E-6,40.000000E+0,727.046100E-6
